conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.98247E+18,Sun Oct 26 15:44:04 +0000 2025,0,anjir ah baru awal udh ga enak bgt bacanya cerai cerai gini angst tah iki bes? g kuadh kalo angst,1.98247E+18,,,in,,0,1,0,https://x.com/undefined/status/1982473308747784229,1.60983E+18,
1.98247E+18,Sun Oct 26 15:40:16 +0000 2025,6,300 orang favoritku list diskursus: - oyaho vibes cerai dan angst (maf) - hari raya jitak - baekhwang - panik menunggu that one au solsob - iri dgn mba2 yg send off - nobar tea talk - semuanya pis berumur 5 bln ️,1.98247E+18,,,in,,0,0,0,https://x.com/undefined/status/1982472353272725717,1.87011E+18,
1.98236E+18,Sun Oct 26 15:38:10 +0000 2025,0,@ainaaefos Kalau dia dah start masak nnti tak jadi cerai lah ek,1.98247E+18,,ainaaefos,in,,0,0,0,https://x.com/undefined/status/1982471825839046798,966214572,
1.98247E+18,Sun Oct 26 15:36:01 +0000 2025,0,@kimchi92rj belum tau ka kalo ini tapi ada yang bilang lagi ngurusin proses cerai,1.98247E+18,,kimchi92rj,in,,0,0,0,https://x.com/undefined/status/1982471284379599104,1.43129E+18,
1.98247E+18,Sun Oct 26 15:29:45 +0000 2025,0,Baru kali ini ngarepin bangett orang cerai‍,1.98247E+18,,,in,,0,0,0,https://x.com/undefined/status/1982469706050388236,1.90051E+18,
1.98247E+18,Sun Oct 26 15:29:42 +0000 2025,1,Nikah hrs serius terutama pr krn mengikat hub. baru dng keluarga calon. Bs jd kita akan jd duda/janda (tp bkn cerai mati) anak kita akan kehilangan 1 sosok akan kesulitan cerai (pr) &amp; mudah cerai (lk) pr akan jd pencari nafkah (utk dirinya sendiri mungkin anak jg) &amp; IRT.,1.98247E+18,,,in,,0,0,0,https://x.com/undefined/status/1982469696885825672,1.49313E+18,
1.98246E+18,Sun Oct 26 15:28:04 +0000 2025,0,@NgocNgoc980 My first love jenlisa ini huhu sempet cerai juga ,1.98247E+18,,NgocNgoc980,in,,0,1,0,https://x.com/undefined/status/1982469286234067238,1.62552E+18,
1.98179E+18,Sun Oct 26 15:24:36 +0000 2025,0,@selyonce17 @yukonsbieb ortu gue yg ga romantis kyk jailey aja masih langgeng. mana dua2nya dokter bedah hari libur aja masih dpt call. pas kecil hampir tiap weekend kita di RS grgr mrk berdua ada operasi darurat. apalg justin cita2nya punya keluarga utuh,1.98247E+18,,mademoisellebyy,in,,0,0,0,https://x.com/undefined/status/1982468410660560916,1.77333E+18,
1.98234E+18,Sun Oct 26 15:20:08 +0000 2025,0,@IndoPopBase setiap rumah tangga udah tentu ada rintangan kalo cuma beda pandangan itu anak bakal bawa beban hidup mereka bakal mikir apakah kalo dia ngga ada orang tuanya gk bakal cerai ya walaupun orang tau itu salah tapi ya namanya juga anak anak mikir,1.98247E+18,,buruburu012,in,,0,0,0,https://x.com/undefined/status/1982467287270777131,1.63849E+18,
1.98234E+18,Sun Oct 26 15:19:45 +0000 2025,0,@IndoPopBase kalo cuma beda pandangan gw harap mereka gk jadi cerai omongin baik baik,1.98247E+18,,buruburu012,in,,0,1,0,https://x.com/undefined/status/1982467190311080291,1.63849E+18,
